dataset,missing_rate,ttest_p,p_bonf,sig_raw,sig_bonf
Toxicity,0.1,0.24173979365729395,1.0,False,False
Toxicity,0.2,0.3950299100544736,1.0,False,False
Toxicity,0.3,0.9363604619715299,1.0,False,False
Toxicity,0.4,0.6549851817610767,1.0,False,False
Toxicity,0.5,0.368559605856433,1.0,False,False
Darwin,0.1,0.002450783792018984,0.0612695948004746,True,False
Darwin,0.2,0.0011597978581290977,0.028994946453227442,True,True
Darwin,0.3,0.5619854333439286,1.0,False,False
Darwin,0.4,0.0020371241658036407,0.05092810414509102,True,False
Darwin,0.5,0.42615323045241016,1.0,False,False
Micromass,0.1,2.974504900424236e-23,7.43626225106059e-22,True,True
Micromass,0.2,1.2377537963333261e-21,3.0943844908333154e-20,True,True
Micromass,0.3,2.9912523527155145e-18,7.478130881788786e-17,True,True
Micromass,0.4,1.0606131876373635e-17,2.6515329690934087e-16,True,True
Micromass,0.5,1.5911541817566278e-14,3.9778854543915697e-13,True,True
Parkinson,0.1,3.286899372922991e-15,8.217248432307478e-14,True,True
Parkinson,0.2,3.2318175502953107e-18,8.079543875738276e-17,True,True
Parkinson,0.3,3.7275636040460705e-18,9.318909010115176e-17,True,True
Parkinson,0.4,9.618375109672051e-16,2.4045937774180127e-14,True,True
Parkinson,0.5,9.760334992136179e-15,2.4400837480340446e-13,True,True
Parkinson2clc,0.1,0.19011736352530367,1.0,False,False
Parkinson2clc,0.2,0.9142343183077916,1.0,False,False
Parkinson2clc,0.3,0.45797010696866686,1.0,False,False
Parkinson2clc,0.4,0.4738380587937251,1.0,False,False
Parkinson2clc,0.5,0.12155287719865468,1.0,False,False
